Item,Description,Qty,Value
132,Meter 32 MPA Concrete,0,$357.00 
130,Meter 30 MPA Concrete,0,$345.00 
128,Meter 28 MPA Concrete,0,$343.00 
125,Meter 25 MPA Concrete,0,$338.00 
120,"Meter 20 MPA Concrete, Fence Post Mix",0,$334.00 
0.94,0.9 Meter 40 MPA Concrete,0,$380.00 
0.93,0.9 Meter 30 MPA Concrete,0,$339.00 
0.932,0.9 Meter 32 MPA Concrete,0,$352.00 
0.935,0.9 Meter 35 MPA Concrete,0,$366.00 
0.92,"0.9 Meter 20 MPA Concrete, Fence Post Mix",0,$325.00 
0.925,0.9 Meter 25 MPA Concrete,0,$331.00 
0.928,0.9 Meter 28 MPA Concrete,0,$337.00 
0.84,0.8 Meter 40 MPA Concrete,0,$375.00 
0.83,0.8 Meter 30 MPA Concrete,0,$335.00 
0.832,0.8 Meter 32 MPA Concrete,0,$345.00 
0.835,0.8 Meter 35 MPA Concrete,0,$362.00 
0.82,"0.8 Meter 20 MPA concrete, Fence Post Mix",0,$316.00 
0.825,0.8 Meter 25 MPA Concrete,0,$325.00 
0.828,0.8 Meter 28 MPA Concrete,0,$330.00 
0.752,"0.75  Meter 20 MPA Concrete, Fence Post Mix",0,$313.00 
0.7525,0.75  Meter 25 MPA Concrete,0,$322.00 
0.7528,0.75  Meter 28MPA Concrete,0,$327.00 
0.753,0.75  Meter 30 MPA Concrete,0,$331.00 
0.7532,0.75 Meter 32 MPA Concrete,0,$343.00 
0.7535,0.75 Meter 35 MPA Concrete,0,$360.00 
0.754,0.75 Meter 40 MPA Concrete,0,$373.00 
0.74,0.70 Meter 40 MPA Concrete,0,$370.00 
0.73,0.70  Meter 30 MPA Concrete,0,$329.00 
0.732,0.70 Meter 32 MPA Concrete,0,$339.00 
0.735,0.70 Meter 35 MPA Concrete,0,$357.00 
0.72,"0.70 Meter 20 MPA Concrete, Fence Post Mix",0,$311.00 
0.725,0.70  Meter 25 MPA Concrete,0,$319.00 
0.728,0.70  Meter 28MPA Concrete,0,$325.00 
0.64,0.60 Meter 40 MPA Concrete,0,$365.00 
0.63,0.60  Meter 30 MPA Concrete,0,$324.00 
0.632,0.60 Meter 32 MPA Concrete,0,$335.00 
0.635,0.60 Meter 35 MPA Concrete,0,$351.00 
0.62,"0.60  Meter 20 MPA Concrete, Fence Post Mix",0,$305.00 
0.625,0.60  Meter 25 MPA Concrete,0,$313.00 
0.628,0.60  Meter 28MPA Concrete,0,$320.00 
0.54,0.50 Meter 40 MPA Concrete,0,$328.00 
0.53,0.50  Meter 30 MPA Concrete,0,$300.00 
0.532,0.50 Meter 32 MPA Concrete,0,$313.00 
0.535,0.50 Meter 35 MPA Concrete,0,$321.00 
0.52,"0.50  Meter 20 MPA Concrete, Fence Post Mix",0,$285.00 
0.525,0.50  Meter 25 MPA Concrete,0,$290.00 
0.528,0.50  Meter 28MPA Concrete,0,$296.00 
0.44,0.40 Meter 40 MPA Concrete,0,$321.00 
0.43,0.40  Meter 30 MPA Concrete,0,$285.00 
0.432,0.40 Meter 32 MPA Concrete,0,$294.00 
0.435,0.40 Meter 35 MPA Concrete,0,$308.00 
0.42,"0.40  Meter 20 MPA Concrete, Fence Post Mix",0,$275.00 
0.425,0.40  Meter 25 MPA Concrete,0,$278.00 
0.428,0.40  Meter 28MPA Concrete,0,$284.00 
0.34,0.30 Meter 40 MPA Concrete,0,$314.00 
0.33,0.30  Meter 30 MPA Concrete,0,$278.00 
0.332,0.30 Meter 32 MPA Concrete,0,$292.00 
0.335,0.30 Meter 35 MPA Concrete,0,$305.00 
0.32,"0.30  Meter 20 MPA Concrete, Fence Post Mix",0,$261.00 
0.325,0.30  Meter 25 MPA Concrete,0,$268.00 
0.328,0.30  Meter 28MPA Concrete,0,$275.00 
0.252,"0.25  Meter 20 MPA Concrete, Fence Post Mix",0,$238.00 
0.2525,0.25  Meter 25 MPA Concrete,0,$243.00 
0.2528,0.25  Meter 28MPA Concrete,0,$248.00 
0.253,0.25  Meter 30 MPA Concrete,0,$254.00 
0.2532,0.25 Meter 32 MPA Concrete,0,$275.00 
0.2535,0.25 Meter 35 MPA Concrete,0,$294.00 
0.254,0.25 Meter 40 MPA Concrete,0,$307.00 
0.24,0.20 Meter 40 MPA Concrete,0,$276.00 
0.23,0.20  Meter 30 MPA Concrete,0,$249.00 
0.232,0.20 Meter 32 MPA Concrete,0,$250.00 
0.235,0.20 Meter 35 MPA Concrete,0,$263.00 
0.22,"0.20  Meter 20 MPA Concrete, Fence Post Mix",0,$223.00 
0.225,0.20  Meter 25 MPA Concrete,0,$237.00 
0.228,0.20  Meter 28MPA Concrete,0,$238.00 
Total,,0,"$28,767.45 "
